Subject: "dMACDext: Account 1106179, Instrument USD/JPY"

Open Positions:
(AmountK; PriceOpen; B/S; Time)
10; 84.087; Sell; 17:24
10; 84.095; Sell; 15:49
10; 84.097; Sell; 15:49
10; 84.107; Sell; 17:08
10; 84.113; Sell; 15:49

Closed Positions:
(AmountK; PriceClose; B/S; P/L; Time)
10; 84.112; Sell; -1.80; 17:12
10; 84.064; Buy; 13.00; 15:40
10; 84.064; Buy; 12.70; 15:40
10; 84.064; Buy; 10.40; 15:40
10; 84.064; Buy; 6.90; 15:40
10; 83.993; Buy; -1.00; 15:34
10; 83.958; Sell; -1.20; 14:41
10; 83.955; Sell; -1.10; 14:34
10; 83.955; Sell; -6.00; 14:34
10; 83.927; Sell; -4.90; 14:25
10; 83.871; Sell; 12.60; 13:59
10; 83.987; Buy; -3.00; 13:41
10; 84.037; Buy; -2.90; 13:03
